Id,Weekly_Sales
1_4_2013-06-07,37648.696959999914
1_4_2013-06-14,40050.284030000104
1_4_2013-06-21,39605.14101000012
1_4_2013-06-28,37452.45634999994
1_4_2013-07-05,37092.272579999946
1_4_2013-07-12,38702.88114000001
1_4_2013-07-19,38110.421759999976
1_4_2013-07-26,36554.51337999997
1_5_2012-11-02,27681.57124
1_5_2012-11-09,26368.146619999985
1_5_2012-11-16,27018.733409999997
1_5_2012-11-23,77495.47320999994
1_5_2012-11-30,33161.764589999795
1_5_2012-12-07,33154.78601999993
1_5_2012-12-14,41739.64928000006
1_5_2012-12-21,71055.01782000024
1_5_2012-12-28,32540.35870000034
1_5_2013-01-04,24060.62990999995
1_5_2013-01-11,22353.744169999958
1_5_2013-01-18,22206.792980000107
1_5_2013-01-25,21658.975760000194
1_5_2013-02-01,27619.888380000084
1_5_2013-02-08,32012.5247899997
1_5_2013-02-15,34339.382870000045
1_5_2013-02-22,30986.04935000013
1_5_2013-03-01,27439.54583000021
1_5_2013-03-08,25747.437350000197
1_5_2013-03-15,24726.208160000122
1_5_2013-03-22,25246.152720000024
1_5_2013-03-29,27817.321490000148
1_5_2013-04-05,25061.000590000098
1_5_2013-04-12,21441.96759000007
1_5_2013-04-19,20604.488410000034
1_5_2013-04-26,21478.57463000014
1_5_2013-05-03,21287.78397000006
1_5_2013-05-10,23531.796019999976
1_5_2013-05-17,22860.38140000001
1_5_2013-05-24,18933.846250000082
1_5_2013-05-31,19396.202120000067
1_5_2013-06-07,20573.14138000008
1_5_2013-06-14,20114.015540000066
1_5_2013-06-21,19900.40974000007
1_5_2013-06-28,19862.758870000078
1_5_2013-07-05,19026.263640000034
1_5_2013-07-12,19153.01303000011
1_5_2013-07-19,20294.877470000138
1_5_2013-07-26,18739.017920000122
1_6_2012-11-02,4013.7978299999872
1_6_2012-11-09,3696.730889999994
1_6_2012-11-16,3889.832349999994
1_6_2012-11-23,18389.623249999942
1_6_2012-11-30,5102.379539999992
1_6_2012-12-07,4984.263800000007
1_6_2012-12-14,6040.168180000021
1_6_2012-12-21,21381.960679999782
1_6_2012-12-28,5551.739899999998
1_6_2013-01-04,3106.516449999979
1_6_2013-01-11,3185.44288999998
1_6_2013-01-18,2947.2089999999753
1_6_2013-01-25,2839.142409999971
1_6_2013-02-01,3433.474779999992
1_6_2013-02-08,4600.403699999998
1_6_2013-02-15,3940.840549999992
1_6_2013-02-22,3897.472769999991
1_6_2013-03-01,3532.2303299999794
1_6_2013-03-08,3571.162729999979
1_6_2013-03-15,3692.572429999999
1_6_2013-03-22,3732.6936600000076
1_6_2013-03-29,3703.4509199999866
1_6_2013-04-05,3761.708679999985
1_6_2013-04-12,3551.4131299999876
1_6_2013-04-19,3540.429919999986
1_6_2013-04-26,3554.1917599999774
1_6_2013-05-03,3288.93511999999
1_6_2013-05-10,4133.8716100000065
1_6_2013-05-17,4396.30394999999
1_6_2013-05-24,4282.331689999993
1_6_2013-05-31,3501.652439999992
1_6_2013-06-07,3939.7124999999915
1_6_2013-06-14,3809.207210000004
1_6_2013-06-21,3725.2957699999997
1_6_2013-06-28,3536.335749999999
1_6_2013-07-05,4041.761010000005
1_6_2013-07-12,3690.579710000002
1_6_2013-07-19,3838.1601299999943
1_6_2013-07-26,3298.350499999984
1_7_2012-11-02,22937.985770000225
1_7_2012-11-09,22700.01254000022
1_7_2012-11-16,24221.994910000132
1_7_2012-11-23,73578.11130000131
1_7_2012-11-30,39081.41096999974
1_7_2012-12-07,40054.65974000001
1_7_2012-12-14,59477.07203000001
1_7_2012-12-21,137301.4410300007
1_7_2012-12-28,32659.471710000325
1_7_2013-01-04,12958.478769999972
1_7_2013-01-11,12400.089969999946
1_7_2013-01-18,12152.440479999963
1_7_2013-01-25,13007.16408000005
1_7_2013-02-01,17657.98910000013
1_7_2013-02-08,20433.343150000237
1_7_2013-02-15,18580.781530000044
1_7_2013-02-22,18418.102870000057
1_7_2013-03-01,17702.778229999996
1_7_2013-03-08,18071.029590000042
1_7_2013-03-15,19479.479820000128
1_7_2013-03-22,22206.843210000145
1_7_2013-03-29,20731.45856000011
1_7_2013-04-05,21174.063280000122
1_7_2013-04-12,19335.891140000087
1_7_2013-04-19,20560.480030000115
1_7_2013-04-26,19987.560740000114
1_7_2013-05-03,20288.604780000067
1_7_2013-05-10,19021.854300000014
1_7_2013-05-17,20667.751849999993
1_7_2013-05-24,27092.897890000233
1_7_2013-05-31,29253.167930000403
1_7_2013-06-07,26497.042080000017
1_7_2013-06-14,25985.5352
1_7_2013-06-21,24210.10283000016
1_7_2013-06-28,23039.085070000125
1_7_2013-07-05,21829.883140000115
1_7_2013-07-12,20254.85811000011
1_7_2013-07-19,20122.770300000073
1_7_2013-07-26,19042.456220000036
1_8_2012-11-02,39785.18226000006
1_8_2012-11-09,40338.339810000114
1_8_2012-11-16,38558.073070000166
1_8_2012-11-23,36043.146470000414
1_8_2012-11-30,38710.161019999985
1_8_2012-12-07,38742.34673000007
1_8_2012-12-14,38041.99288000006
1_8_2012-12-21,39980.25144999961
1_8_2012-12-28,37758.21869000019
1_8_2013-01-04,36994.97335999998
1_8_2013-01-11,37208.05076999998
1_8_2013-01-18,36977.032049999994
1_8_2013-01-25,37099.707900000045
1_8_2013-02-01,39716.39719000018
1_8_2013-02-08,39878.0537700002
1_8_2013-02-15,39692.445670000176
1_8_2013-02-22,40051.592840000194
1_8_2013-03-01,37800.68030000011
1_8_2013-03-08,37851.689530000134
1_8_2013-03-15,38337.01456999994
1_8_2013-03-22,40527.580200000244
1_8_2013-03-29,39357.09756000003
1_8_2013-04-05,39068.97343000005
1_8_2013-04-12,38160.611540000114
1_8_2013-04-19,38901.66349000019
1_8_2013-04-26,38155.573689999976
1_8_2013-05-03,36106.00555000006
1_8_2013-05-10,35920.35536000009
1_8_2013-05-17,37218.42267000022
1_8_2013-05-24,36944.483640000086
1_8_2013-05-31,36770.79604999995
1_8_2013-06-07,36561.73392000002
1_8_2013-06-14,37916.72773000014
1_8_2013-06-21,37422.63044000005
1_8_2013-06-28,36127.73944999997
1_8_2013-07-05,36923.87811000001
1_8_2013-07-12,36575.60756
1_8_2013-07-19,36473.83054000003
1_8_2013-07-26,35611.30975999996
1_9_2012-11-02,40460.78287999993
1_9_2012-11-09,36353.11055999999
1_9_2012-11-16,33209.71312999996
1_9_2012-11-23,40812.515449999686
1_9_2012-11-30,31709.584999999945
1_9_2012-12-07,33313.57792999998
1_9_2012-12-14,30323.116549999962
1_9_2012-12-21,43401.238960000206
1_9_2012-12-28,29618.968650000086
1_9_2013-01-04,20179.167420000133
1_9_2013-01-11,20477.422950000106
1_9_2013-01-18,18234.72705000001
1_9_2013-01-25,19652.260840000086
1_9_2013-02-01,24437.940110000014
1_9_2013-02-08,26563.244399999978
1_9_2013-02-15,25688.641620000115
1_9_2013-02-22,27794.084640000143
1_9_2013-03-01,29601.67026999994
1_9_2013-03-08,29431.877759999945
1_9_2013-03-15,31977.79427000002
1_9_2013-03-22,34771.94585000013
1_9_2013-03-29,31290.56001000005
1_9_2013-04-05,31136.26258000011
1_9_2013-04-12,31566.472980000068
1_9_2013-04-19,32241.156080000044
1_9_2013-04-26,30025.94897000009
1_9_2013-05-03,30993.292970000024
1_9_2013-05-10,28679.01680000003
1_9_2013-05-17,30063.21371000001
1_9_2013-05-24,29375.125579999938
1_9_2013-05-31,32031.036380000045
1_9_2013-06-07,29381.77327000003
1_9_2013-06-14,31180.095220000087
1_9_2013-06-21,29148.350980000072
1_9_2013-06-28,26889.279280000006
1_9_2013-07-05,27965.7683600002
1_9_2013-07-12,26922.16195000008
1_9_2013-07-19,27748.44002000003
1_9_2013-07-26,28069.66545000008
1_10_2012-11-02,29226.853879999802
1_10_2012-11-09,29729.999139999753
1_10_2012-11-16,29656.601809999727
1_10_2012-11-23,29502.595510000247
1_10_2012-11-30,29328.418199999895
1_10_2012-12-07,29509.126909999846
1_10_2012-12-14,28574.304969999837
1_10_2012-12-21,29602.436200000055
1_10_2012-12-28,29051.989840000027
1_10_2013-01-04,27252.611839999867
1_10_2013-01-11,27338.90281999988
1_10_2013-01-18,26548.737559999903
1_10_2013-01-25,26504.811339999786
1_10_2013-02-01,32865.91442999992
1_10_2013-02-08,34102.210349999936
1_10_2013-02-15,34064.752780000024
1_10_2013-02-22,33683.59754000002
1_10_2013-03-01,32952.65832000002
1_10_2013-03-08,30540.00001000002
1_10_2013-03-15,30635.958829999992
1_10_2013-03-22,34696.31764999984
1_10_2013-03-29,33311.6948999999
1_10_2013-04-05,33252.92063999992
1_10_2013-04-12,29878.889940000052
1_10_2013-04-19,30784.90965000002
1_10_2013-04-26,29691.431890000003
1_10_2013-05-03,31524.217320000123
1_10_2013-05-10,31861.27071000009
1_10_2013-05-17,35034.14814000008
1_10_2013-05-24,33524.67874000017
1_10_2013-05-31,33093.32879000015
1_10_2013-06-07,32041.450290000063
1_10_2013-06-14,35472.12902999996
1_10_2013-06-21,33845.19632
1_10_2013-06-28,31833.967690000012
1_10_2013-07-05,32695.63797000006
1_10_2013-07-12,32125.91955000002
1_10_2013-07-19,31491.078500000018
1_10_2013-07-26,30506.160000000058
1_11_2012-11-02,24850.769929999886
1_11_2012-11-09,22762.604829999913
1_11_2012-11-16,24517.828279999947
1_11_2012-11-23,27580.083779999746
1_11_2012-11-30,27428.887109999894
1_11_2012-12-07,27132.72152999982
1_11_2012-12-14,26637.750459999825
1_11_2012-12-21,30737.40426000004
1_11_2012-12-28,23571.916460000117
1_11_2013-01-04,23857.726979999905
1_11_2013-01-11,23751.492229999883
1_11_2013-01-18,22182.22526
1_11_2013-01-25,19708.453560000005
1_11_2013-02-01,22198.205560000053
1_11_2013-02-08,23621.04206000005
1_11_2013-02-15,24145.167159999917
1_11_2013-02-22,23401.01564999999
1_11_2013-03-01,22802.671559999962
1_11_2013-03-08,22677.81127999997
1_11_2013-03-15,22108.883670000047
1_11_2013-03-22,24339.613230000046
1_11_2013-03-29,23357.989599999986
1_11_2013-04-05,23125.15927000004
1_11_2013-04-12,22412.290639999974
1_11_2013-04-19,22985.04081999996
1_11_2013-04-26,22054.384130000013
1_11_2013-05-03,23141.00861000006
1_11_2013-05-10,23398.6469400001
1_11_2013-05-17,24955.64607000004
1_11_2013-05-24,29364.80682999988
1_11_2013-05-31,30806.21232999983
1_11_2013-06-07,28892.031409999865
1_11_2013-06-14,30636.079689999904
1_11_2013-06-21,32337.819419999916
1_11_2013-06-28,33285.90392999983
1_11_2013-07-05,30233.175069999917
1_11_2013-07-12,31717.938900000005
1_11_2013-07-19,28761.02486000008
1_11_2013-07-26,28307.59755000011
1_12_2012-11-02,9606.017030000008
1_12_2012-11-09,10059.159990000031
1_12_2012-11-16,8834.745079999997
1_12_2012-11-23,8143.647020000102
1_12_2012-11-30,8280.696400000008
1_12_2012-12-07,9443.062980000015
1_12_2012-12-14,8054.091480000007
1_12_2012-12-21,7929.17084000002
1_12_2012-12-28,8106.438950000018
1_12_2013-01-04,7987.514379999977
1_12_2013-01-11,8460.983939999927
1_12_2013-01-18,8221.006379999968
1_12_2013-01-25,8936.248999999894
1_12_2013-02-01,9863.494819999923
1_12_2013-02-08,10248.607339999928
1_12_2013-02-15,9747.408949999946
1_12_2013-02-22,10072.26978999997
1_12_2013-03-01,9996.003249999972
1_12_2013-03-08,10288.875189999979
1_12_2013-03-15,10875.097059999993
1_12_2013-03-22,11669.991419999975
1_12_2013-03-29,10592.951749999997
1_12_2013-04-05,11135.056099999965
1_12_2013-04-12,10896.078279999983
1_12_2013-04-19,10874.210989999972
1_12_2013-04-26,10616.862709999989
1_12_2013-05-03,10918.843969999933
1_12_2013-05-10,11034.469469999947
1_12_2013-05-17,11415.04727999996
1_12_2013-05-24,11833.976689999992
1_12_2013-05-31,11402.154609999972
1_12_2013-06-07,11203.376189999928
1_12_2013-06-14,11508.870689999945
1_12_2013-06-21,11261.53533999993
1_12_2013-06-28,11215.306559999937
1_12_2013-07-05,11016.362679999895
1_12_2013-07-12,11029.01449999991
1_12_2013-07-19,11463.907219999965
1_12_2013-07-26,11114.515489999938
1_13_2012-11-02,40847.549410000094
1_13_2012-11-09,41928.174790000194
1_13_2012-11-16,40281.9358999999
1_13_2012-11-23,39975.95631999994
1_13_2012-11-30,38276.210359999925
1_13_2012-12-07,40015.72897999991
1_13_2012-12-14,37547.415139999954
1_13_2012-12-21,37455.70132999987
1_13_2012-12-28,39058.12906999994
1_13_2013-01-04,37665.35886999983
1_13_2013-01-11,38720.638229999924
1_13_2013-01-18,37336.7897799999
1_13_2013-01-25,36867.84048999999
1_13_2013-02-01,41184.88222000017
1_13_2013-02-08,42580.75761999991
1_13_2013-02-15,42085.11475999997
1_13_2013-02-22,41996.139810000175
1_13_2013-03-01,39130.17956999998
1_13_2013-03-08,38634.23385999999
1_13_2013-03-15,38825.88823999981
1_13_2013-03-22,41921.30583000025
1_13_2013-03-29,40340.5773
1_13_2013-04-05,40000.57961999995
1_13_2013-04-12,38165.726019999966
1_13_2013-04-19,38345.199629999974
1_13_2013-04-26,37545.680960000005
1_13_2013-05-03,37409.34944000015
1_13_2013-05-10,38847.270769999894
1_13_2013-05-17,41278.24790000001
1_13_2013-05-24,39700.81324000002
1_13_2013-05-31,38617.720900000124
1_13_2013-06-07,38707.15972
1_13_2013-06-14,41320.97708000031
1_13_2013-06-21,40444.42891000023
1_13_2013-06-28,39341.50214999997
1_13_2013-07-05,39356.4644400002
1_13_2013-07-12,39156.45592999992
1_13_2013-07-19,38751.94931000004
1_13_2013-07-26,37849.707600000045
1_14_2012-11-02,14691.284480000111
1_14_2012-11-09,14424.803570000038
1_14_2012-11-16,17575.774350000058
1_14_2012-11-23,38274.84283000016
1_14_2012-11-30,19738.030320000013
1_14_2012-12-07,17928.74415000002
1_14_2012-12-14,23144.667239999937
1_14_2012-12-21,43415.89536999986
1_14_2012-12-28,22375.671269999853
1_14_2013-01-04,14925.24933000003
1_14_2013-01-11,14516.04830000003
1_14_2013-01-18,13389.417849999985
1_14_2013-01-25,12727.867660000009
1_14_2013-02-01,15516.83695999998
1_14_2013-02-08,16285.559750000026
1_14_2013-02-15,17415.637400000025
1_14_2013-02-22,16793.54982999999
1_14_2013-03-01,15729.669519999943
1_14_2013-03-08,14560.28383000001
1_14_2013-03-15,13668.525270000026
1_14_2013-03-22,15237.783509999992
1_14_2013-03-29,15184.036199999991
1_14_2013-04-05,14965.722959999915
1_14_2013-04-12,13163.166429999997
1_14_2013-04-19,13308.77334999998
1_14_2013-04-26,13573.763850000008
1_14_2013-05-03,13854.223169999923
1_14_2013-05-10,14664.091349999944
1_14_2013-05-17,14944.735589999858
1_14_2013-05-24,14380.299459999896
1_14_2013-05-31,14358.436179999862
1_14_2013-06-07,13947.255729999939
1_14_2013-06-14,15096.754099999864
1_14_2013-06-21,14577.469179999885
1_14_2013-06-28,14025.96913999993
1_14_2013-07-05,14441.340699999919
1_14_2013-07-12,14061.483019999927
1_14_2013-07-19,13734.20067999995
1_14_2013-07-26,13287.796279999942
1_16_2012-11-02,7386.380460000056
1_16_2012-11-09,7676.536680000039
1_16_2012-11-16,6922.68468000001
1_16_2012-11-23,8853.006560000078
1_16_2012-11-30,6913.321389999984
1_16_2012-12-07,7970.343060000025
1_16_2012-12-14,6069.360739999966
1_16_2012-12-21,7547.797000000072
1_16_2012-12-28,6345.587769999942
1_16_2013-01-04,6683.141370000009
1_16_2013-01-11,7448.6851700000125
1_16_2013-01-18,6899.062660000013
1_16_2013-01-25,8007.650420000018
1_16_2013-02-01,12366.180360000126
1_16_2013-02-08,15010.211000000001
1_16_2013-02-15,13832.524009999937
1_16_2013-02-22,16650.673550000025
1_16_2013-03-01,19087.107770000017
1_16_2013-03-08,23666.991069999985
1_16_2013-03-15,32791.81186999996
1_16_2013-03-22,41891.07557000002
1_16_2013-03-29,30543.758799999872
1_16_2013-04-05,37628.83451999977
1_16_2013-04-12,39741.84142999977
1_16_2013-04-19,40820.82027999971
1_16_2013-04-26,37009.382429999794
1_16_2013-05-03,40741.91978999982
1_16_2013-05-10,37396.27080999983
1_16_2013-05-17,38859.33024999996
1_16_2013-05-24,41000.795009999834
1_16_2013-05-31,42721.89253999965
1_16_2013-06-07,36183.83524999983
1_16_2013-06-14,36216.594080000104
1_16_2013-06-21,34324.63990000001
1_16_2013-06-28,34371.71684000012
1_16_2013-07-05,34254.567910000056
1_16_2013-07-12,25365.323050000075
1_16_2013-07-19,24594.851470000038
1_16_2013-07-26,21912.224739999907
1_17_2012-11-02,8455.288380000025
1_17_2012-11-09,8253.913380000013
1_17_2012-11-16,8906.11568000004
1_17_2012-11-23,12071.678150000029
1_17_2012-11-30,9943.079370000036
1_17_2012-12-07,9402.510000000024
1_17_2012-12-14,10260.591770000045
1_17_2012-12-21,17864.84320999986
1_17_2012-12-28,10345.935940000018
1_17_2013-01-04,8671.82009999999
1_17_2013-01-11,8714.726699999952
1_17_2013-01-18,8484.130279999976
1_17_2013-01-25,7759.944310000009
1_17_2013-02-01,8687.467290000033
1_17_2013-02-08,9526.119290000059
1_17_2013-02-15,9918.676200000074
1_17_2013-02-22,10062.97670000005
1_17_2013-03-01,9863.779220000082
1_17_2013-03-08,9249.612310000046
1_17_2013-03-15,8904.688609999977
1_17_2013-03-22,9057.961579999988
1_17_2013-03-29,9330.480910000024
1_17_2013-04-05,9293.783440000036
1_17_2013-04-12,8186.132010000003
1_17_2013-04-19,7794.8629699999765
1_17_2013-04-26,8191.044510000018
1_17_2013-05-03,7924.500880000002
1_17_2013-05-10,8776.503740000011
1_17_2013-05-17,8618.163820000033
1_17_2013-05-24,7683.6385699999955
1_17_2013-05-31,7461.63774999999
1_17_2013-06-07,7994.146040000023
1_17_2013-06-14,7888.143010000014
1_17_2013-06-21,7812.705329999991
1_17_2013-06-28,8019.635099999995
1_17_2013-07-05,7705.8256699999765
1_17_2013-07-12,7582.751350000011
1_17_2013-07-19,7904.323960000012
1_17_2013-07-26,7813.429610000012
1_18_2012-11-02,13589.500139999933
1_18_2012-11-09,11726.540029999991
1_18_2012-11-16,15229.507809999996
1_18_2012-11-23,30367.21847000014
1_18_2012-11-30,38664.86092000018
1_18_2012-12-07,35535.47053000009
1_18_2012-12-14,30194.19443999993
1_18_2012-12-21,22505.418929999836
1_18_2012-12-28,19832.45643999988
1_18_2013-01-04,8204.191970000036
1_18_2013-01-11,5670.935840000007
1_18_2013-01-18,3007.731879999997
1_18_2013-01-25,2838.2957600000163
1_18_2013-02-01,5050.744820000006
1_18_2013-02-08,10593.844970000027
1_18_2013-02-15,14839.328760000024
1_18_2013-02-22,4846.86915000002
1_18_2013-03-01,3380.373630000008
1_18_2013-03-08,2945.1320700000038
1_18_2013-03-15,2838.650340000005
1_18_2013-03-22,4808.962950000012
1_18_2013-03-29,4558.715390000023
1_18_2013-04-05,5801.796590000007
1_18_2013-04-12,2930.977160000012
1_18_2013-04-19,2719.2109600000144
1_18_2013-04-26,2240.93729
1_18_2013-05-03,1239.0978199999993
1_18_2013-05-10,1006.4678699999984
1_18_2013-05-17,1560.4139300000008
1_18_2013-05-24,246.9572900000016
1_18_2013-06-07,376.2613599999981
1_18_2013-07-05,589.3417499999958
1_19_2012-11-02,1285.617930000011
1_19_2012-11-09,1316.6743300000091
1_19_2012-11-16,1307.233250000013
1_19_2012-11-23,1501.6387400000096
1_19_2012-11-30,1410.6642800000125
1_19_2012-12-07,1451.2418500000085
1_19_2012-12-14,1386.6612600000137
1_19_2012-12-21,1918.3652700000066
1_19_2012-12-28,1168.5583700000104
1_19_2013-01-04,918.519339999995
1_19_2013-01-11,970.1662499999949
1_19_2013-01-18,1041.7537600000005
1_19_2013-01-25,1093.8735200000021
1_19_2013-02-01,1191.3583100000062
1_19_2013-02-08,1203.540710000009
1_19_2013-02-15,1092.8951500000069
1_19_2013-02-22,1098.8921300000063
1_19_2013-03-01,1241.505860000008
1_19_2013-03-08,1262.2884600000089
1_19_2013-03-15,1183.3748300000057
1_19_2013-03-22,1170.120690000008
1_19_2013-03-29,1177.677550000007
1_19_2013-04-05,1167.3990000000065
1_19_2013-04-12,1258.3165500000098
1_19_2013-04-19,1289.5894000000128
1_19_2013-04-26,1197.6451100000097
1_19_2013-05-03,1091.33622
1_19_2013-05-10,1097.012819999997
1_19_2013-05-17,1116.3470200000038
1_19_2013-05-24,1157.2836099999968
1_19_2013-05-31,1162.189029999999
1_19_2013-06-07,1096.3285999999955
1_19_2013-06-14,1034.8602900000014
1_19_2013-06-21,1035.4936199999997
1_19_2013-06-28,992.424309999998
1_19_2013-07-05,1002.4073600000016
1_19_2013-07-12,989.7511999999973
1_19_2013-07-19,1067.6584199999984
1_19_2013-07-26,1084.476799999999
1_20_2012-11-02,3565.2993400000023
1_20_2012-11-09,3562.6705699999984
1_20_2012-11-16,3376.1894499999835
1_20_2012-11-23,5289.471189999991
1_20_2012-11-30,3672.6228399999973
1_20_2012-12-07,3381.8368899999973
1_20_2012-12-14,3461.9787100000003
1_20_2012-12-21,4816.167820000017
1_20_2012-12-28,4030.6326299999437
1_20_2013-01-04,3961.285660000014
1_20_2013-01-11,3993.865830000019
1_20_2013-01-18,3900.1268099999847
1_20_2013-01-25,3760.1701699999635
1_20_2013-02-01,4350.110590000008
1_20_2013-02-08,4864.9406800000115
1_20_2013-02-15,4879.07146000001
1_20_2013-02-22,4830.072870000012
1_20_2013-03-01,4840.434670000011
1_20_2013-03-08,4497.305950000007
1_20_2013-03-15,4371.173600000027
1_20_2013-03-22,4435.201060000017
1_20_2013-03-29,4496.524710000015
1_20_2013-04-05,4526.807070000021
1_20_2013-04-12,4150.136350000012
1_20_2013-04-19,4098.045260000005
1_20_2013-04-26,3995.7246700000073
1_20_2013-05-03,3992.182290000001
1_20_2013-05-10,4393.048760000009
1_20_2013-05-17,4919.867840000022
1_20_2013-05-24,4518.3541500000265
1_20_2013-05-31,4346.153910000002
1_20_2013-06-07,4541.246620000007
1_20_2013-06-14,4569.716550000014
1_20_2013-06-21,4424.581349999994
1_20_2013-06-28,4558.444639999996
1_20_2013-07-05,4359.108850000026
1_20_2013-07-12,4255.6084400000145
1_20_2013-07-19,4480.040189999996
